name,distance,street,latitude,longitude,categories
Gyo Para Gyoza & Ramen Bar,777,2120 Broadway W,49.263542,-123.153452,Ramen Restaurant
Keg Steakhouse & Bar - Thurlow Keg,17,1121 Alberni St,49.285929,-123.124222,Restaurant
Samurai Japanese Restaurant,66,1108 Davie St,49.28053,-123.131711,Sushi Restaurant
Hachibei Restaurant,107,778 16th Ave W,49.256894,-123.121582,Japanese Restaurant
Sing Sing Beer Bar,364,2718 Main St,49.260652,-123.100815,"Beer Bar,Restaurant"
Colony Bar Main Street,67,2904 Main St,49.258994,-123.100836,"Sports Bar,Restaurant"
Kaide Sushi Bar,368,1375 Richards St,49.274178,-123.127112,Sushi Restaurant
Kaide Sushi Bar,235,1375 Richards St,49.274178,-123.127112,Sushi Restaurant
Nero Belgian Waffle Bar,151,1002 Seymour St,49.278311,-123.122111,"Dessert Shop,Restaurant"
Romer's Burger Bar,115,1873 4th Ave W,49.268222,-123.147528,"Burger Joint,Fast Food Restaurant"
Novo Pizzeria & Wine Bar,140,2118 Burrard St,49.266632,-123.145364,Pizzeria
Dockside Restaurant,291,1253 Johnston St,49.269422,-123.131167,"Hotel Bar,Lounge,Seafood Restaurant"
Octopus's Garden Restaurant,473,1995 Cornwall Ave,49.272659,-123.149773,Sushi Restaurant
Keefer Bar,444,135 Keefer St,49.279619,-123.101293,"Cocktail Bar,Lounge,Restaurant"
Back and Forth Bar,284,303 Columbia St,49.282075,-123.102476,Beer Bar
Gyo Para Gyoza & Ramen Bar,529,2120 Broadway W,49.263542,-123.153452,Ramen Restaurant
Farmer's Apprentice Restaurant,129,1535 6th Ave W,49.266297,-123.139334,Restaurant
Kibune Sushi Restaurant,100,1508 Yew St,49.272463,-123.154784,Sushi Restaurant
Octopus's Garden Restaurant,412,1995 Cornwall Ave,49.272659,-123.149773,Sushi Restaurant
Hi-Nippon Japanese Restaurant,40,2274 4th Ave W,49.268061,-123.156921,"Diner,Sushi Restaurant"
