key,name,review_count,rating,latitude,longitude,street_name,distance,pricing,categories
125,Eternal Abundance,121,4.0,49.2755401,-123.0696449,1025 Commercial Drive,357.36109332950906,$$,"vegan,juicebars,healthmarkets"
126,The Shameful Tiki Room,391,4.3,49.2459581832992,-123.100953526306,4362 Main Street,968.8908692899645,$$,tikibars
126,Burgoo Bistros,503,3.9,49.25765498958033,-123.100815,3096 Main Street,334.85027506266687,$$,"comfortfood,bistros"
126,Published On Main,126,4.4,49.25283186017385,-123.10116032897228,3593 Main Street,204.73181350596576,,"tapasmallplates,wine_bars,cocktailbars"
126,Anh and Chi,669,4.0,49.2550314422938,-123.100882202153,3388 Main Street,54.72735884510411,$$$,"vietnamese,cocktailbars"
126,The Cascade Room,235,3.9,49.2617,-123.10062,2616 Main Street,786.5674907090568,$$,"pubs,newcanadian,cocktailbars"
126,Alphabet City,10,4.6,49.247143422699786,-123.1010019840429,4242 Main Street,837.054170574261,,"bars,burgers,mexican"
126,The Watson,7,4.7,49.25774,-123.10083,3080 Main Street,343.8198276898949,,cocktailbars
126,Sun Sui Wah Seafood Restaurant,560,3.6,49.25053,-123.1006,3888 Main Street,476.3719600449987,$$,"seafood,dimsum,cantonese"
126,Sal y Limón,652,4.0,49.2569043786921,-123.08924632997,701 Kingsway Street,915.697936803587,$$,mexican
126,Good Co. Bars,82,3.2,49.2590286,-123.1008305,2904 Main Street,486.6780255670494,$$,bars
126,The Farmhouse,19,4.1,49.26185879464837,-123.09710762514682,352 East 10th Avenue,857.9289456482152,,"italian,wine_bars"
126,Ramen Kounotori,12,4.7,49.249832,-123.100779,3950 Main Street,535.4441121956187,,"ramen,seafood,soup"
126,El Camino's,203,3.5,49.2561154,-123.1010503,3250 Main Street,166.47980478788216,$$,latin
126,The Biltmore Cabaret,93,3.9,49.2603124,-123.0964455,2755 Prince Edward Street,738.5935798253363,$,"musicvenues,bars"
126,Los Cuervos Taqueria Y Cantina,184,3.9,49.2574755005862,-123.091043941677,603 Kingsway,813.1471310257822,$$,"mexican,latin"
126,Grub,185,4.2,49.2463988,-123.1010281,4328 Main Street,914.2306794714473,$$,"italian,newcanadian"
126,Hail Mary's,16,4.3,49.2623351,-123.0894392,670 E Broadway,1213.876580348724,,"newcanadian,cocktailbars"
126,Browns Crafthouse,22,4.0,49.256437,-123.100887,202 East 16th Avenue,199.79663587145296,,bars
